grant_id,grant_val
391229,MC_UP_120/4
391233,CS-2015-15-023
392441,K23 AG045290
392445,K24 AG046372
392449,K76 AG057016
392453,R01 AG041860
392457,P30 AG044281
392461,KL2 TR000143
394347,001
394617,MC_U123292700
394621,MC-A760-5QX00
394625,MC_EX_MR/M01424X/1
394629,MR/R010161/1
394633,MC_UU_00026/3
395279,U54 GM104942
395283,F32 AR057644
395287,R01 DA014813
395981,PJT-153199
397193,T32 CA009523
397197,DK063491
397201,R01 DK091183
397205,R01 HL125352
397209,T32 GM007752
397213,R01 GM065490
397217,T32 CA009523
397221,DK091183
397225,GM067946
397229,HL125352
397233,R35 GM122523
397237,T32 GM007752
397241,R35 GM122523
397393,1ZIASC006321-39
397397,Intramural Research Program
397401,P30CA177558
397405,1ZIASC006321-39
397409,Intramural Research Program
397677,K12HL141954
397681,R01 AI140736
397685,P30 CA016056
397689,R01 HL103411
397693,R01 HL089224
397697,R01HL089224
397701,R01AI140736
397705,K12HK141954
397709,K12 HL141954
397713,CA076056
397931,2R37NS042925-10
397935,R35 NS111604
397939,R21MH114182
397943,R01NS52738
397947,Cancer Center Grant P30 CAO16059
397951,MD007599
397955,R37 NS042925
397959,CenterCore Grant 5P30 NS047463
398137,P30 CA016087
398141,GM104047
398145,R01GM121505
398149,P30CA016087
398153,P30CA008748
398157,P30 CA008748
398161,W81XWH-17-1-0412
398165,R01 GM121505
398327,R01 NS047715
398331,R01-EB-006745
398335,R01-NS-047715
398339,F31-NS-093825
398343,R01 EB006745
398347,R35-NS-105092
398351,R35 NS105092
398355,F31 NS093825
398545,810316
398679,692775
398853,R01 CA168814
399211,MR/N026969/1
399285,R01 HL133293
399289,R01 HL130053
399293,R56 HL138496
399297,R01 HL146914
399301,R01 HL142808
399387,R01 AG037000
399391,T32 AG000213
399395,T32 DK007665
399619,D43 TW009078
401105,R01 AR067306
401159,R01 AR067306
405051,V 457
413078,T32 HL007734
413082,R01 HL021796
413086,R21 EB024308
413090,R01 HL086741
413094,T35 HL110843
413594,P41 EB015890
413598,U54 ES027698
413806,P30 CA016672
414428,R01 CA209886
414576,K08 CA177927
414728,P30 CA016672
415358,R25 HD082842
418982,K22 HL133150
418986,Z01 HL000514
418990,ZIA HL000514
419354,MR/N023498/1
420000,P30 CA016056
420182,T32 CA117846
420588,P30 CA124435
435380,P20 GM121325
435384,R15 GM116108
448646,P20 GM103408
448650,P20 GM109095
459342,R01 CA193522
461626,P30 CA006927
463382,R01 NS036126
463386,R01 MH115860
463390,R01 AI145542
463394,P01 DA028555
463398,P30 MH062261
463402,P01 NS031492
463406,R56 AI138613
463410,P01 MH064570
463414,R01 MH104147
463418,R01 AG043540
463422,P30 AI078498
463426,R01 NS034239
464246,K24 HL140108
469922,UL1 TR001863
474540,R15 GM114751
476778,725970
476782,ATTEND
476876,HA 6386/4-1
477184,2011-01
477402,2019R1A2C2002414
477406,2014R1A5A2009392
